242005208,,,PREP-SC,1558,,,,,New Delhi,Delhi
242005211,,,PREP-SC,4551,,,,,New Delhi,Delhi
242005213,,,PREP-SC,4884,,,,,New Delhi,Delhi
242005214,4431,176,EWS,486,IIT Kanpur,Mechanical Engineering,,4,New Delhi,Delhi
242005215,15946,128,gen,15946,,,,,New Delhi,Delhi
242005224,,87,SC,1801,IIT (BHU) Varanasi,Chemical Engineering,,4,New Delhi,Delhi
242005228,,86,SC,1840,IIT Kanpur,Materials Science and Engineering,,4,New Delhi,Delhi
242005229,,,PREP-SC,2768,,,1,,New Delhi,Delhi
242005232,,,PREP-ST,529,,,,,New Delhi,Delhi
242005234,,,PREP-SC,1435,,,,,New Delhi,Delhi
242005235,19670,120,EWS,2839,,,,,New Delhi,Delhi
242005243,,,PREP-ST,2891,,,,,New Delhi,Delhi
242005249,,,PREP-SC,6933,,,,,New Delhi,Delhi
242005251,14353,131,EWS,1961,,,,,New Delhi,Delhi
242005258,14892,130,gen,14892,,,,,New Delhi,Delhi
242005267,7543,156,gen,7543,IIT Kharagpur,Biotechnology and Biochemical Engineering,,4,New Delhi,Delhi
242005268,,55,SC,5429,,,,,New Delhi,Delhi
242005270,7140,158,gen,7140,,,,,New Delhi,Delhi
242005275,10939,142,gen,10939,,,,,New Delhi,Delhi
242005280,,,PREP-SC,7904,,,,,New Delhi,Delhi
242005284,9955,146,OBC,2198,IIT Indore,Mechanical Engineering,,4,New Delhi,Delhi
242005286,12642,136,OBC,2921,IIT (BHU) Varanasi,Mechanical Engineering,,5,New Delhi,Delhi
242005291,13792,133,EWS,1866,,,,,New Delhi,Delhi
242005292,,80,SC,2227,IIT Ropar,Chemical Engineering,,4,New Delhi,Delhi
242005296,5103,171,gen,5103,IIT Guwahati,Chemical Engineering,,4,New Delhi,Delhi
242005298,568,251,EWS,49,IIT Kanpur,Computer Science and Engineering,,4,New Delhi,Delhi
242005301,19434,120,gen,19434,,,,,New Delhi,Delhi
242005303,14178,132,EWS,1934,IIT Kharagpur,Chemistry,,4,New Delhi,Delhi
242005307,13958,132,gen,13958,,,,,New Delhi,Delhi
242005308,20635,118,gen,20635,,,,,New Delhi,Delhi
242005314,8675,151,EWS,1082,IIT Guwahati,Chemical Science and Technology,,4,New Delhi,Delhi
242005322,,,PREP-SC,7198,,,,,New Delhi,Delhi
242005325,18598,122,gen,18598,,,,,New Delhi,Delhi
242005329,,100,OBC,8536,IIT Kharagpur,Agricultural and Food Engineering,,4,New Delhi,Delhi
242005331,,68,SC,3428,,,,,New Delhi,Delhi
242005335,,66,ST,1039,IIT Jammu,Electrical Engineering,,4,New Delhi,Delhi
242005336,,54,SC,5559,,,,,New Delhi,Delhi
242005339,,108,OBC,6830,,,,,New Delhi,Delhi
242005341,,,PREP-SC,6592,,,,,New Delhi,Delhi
242005343,,,PREP-SC,1177,,,,,New Delhi,Delhi
242005359,23034,113,OBC,5888,,,,,New Delhi,Delhi
242005364,647,246,gen,647,IIT Delhi,Electrical Engineering (Power and Automation),,4,New Delhi,Delhi
242005368,,104,OBC,7753,,,,,New Delhi,Delhi
242005369,12939,135,gen,12939,,,,,New Delhi,Delhi
242005371,,74,ST,763,IIT (BHU) Varanasi,Mechanical Engineering,,4,New Delhi,Delhi
242005377,3269,188,OBC,580,IIT Delhi,Engineering and Computational Mechanics,,4,New Delhi,Delhi
242005379,,65,SC,3768,,,,,New Delhi,Delhi
242005383,4506,176,gen,4506,IIT Roorkee,Chemical Engineering,,4,New Delhi,Delhi
242005386,,,PREP-SC,115,,,,,New Delhi,Delhi
242005387,1410,219,gen,1410,IIT Roorkee,Electronics and Communication Engineering,,4,New Delhi,Delhi
242005390,17272,125,EWS,2445,,,,,New Delhi,Delhi
242005391,1373,221,gen,1373,IIT Delhi,Mechanical Engineering,,4,New Delhi,Delhi
242005392,6292,163,gen,6292,,,,,New Delhi,Delhi
242005398,,107,OBC,7072,,,,,New Delhi,Delhi
242005400,,,PREP-SC,4706,,,,,New Delhi,Delhi
242005408,22747,114,gen,22747,,,,,New Delhi,Delhi
242005416,,,PREP-SC,4569,,,,,New Delhi,Delhi
242005423,,75,SC,2695,,,,,New Delhi,Delhi
242006019,8623,151,gen,8623,IIT Delhi,Biotechnology and Biochemical Engineering,,4,New Delhi,Delhi
242006020,,55,SC,5475,,,,,New Delhi,Delhi
242006021,10242,144,gen,10242,IIT Kharagpur,Agricultural and Food Engineering,,4,New Delhi,Delhi
242006028,,,PREP-ST,2601,,,,,New Delhi,Delhi
242006029,5080,172,gen,5080,IIT Kharagpur,Economics,,4,New Delhi,Delhi
242006031,19709,119,OBC,4947,IIT Mandi,Engineering Physics,,4,New Delhi,Delhi
242006034,,,PREP-SC,6097,,,,,New Delhi,Delhi
242006042,445,258,gen,445,IIT Roorkee,Computer Science and Engineering,,4,New Delhi,Delhi
242006045,,,PREP-SC,3297,,,,,New Delhi,Delhi
242006049,18967,121,gen,18967,,,,,New Delhi,Delhi
242006050,14321,131,gen,14321,,,,,New Delhi,Delhi
242006051,1260,224,gen,1260,IIT Roorkee,Electronics and Communication Engineering,,4,New Delhi,Delhi
242006052,15073,130,gen,15073,,,,,New Delhi,Delhi
242006053,,,PREP-SC,2229,,,,,New Delhi,Delhi
242006054,16734,126,OBC,4091,IIT (ISM) Dhanbad,Engineering Physics,,4,New Delhi,Delhi
242006057,,,PREP-SC,778,,,,,New Delhi,Delhi
242006061,15086,130,gen,15086,,,,,New Delhi,Delhi
242006067,,108,OBC,6941,,,,,New Delhi,Delhi
242006069,14616,131,gen,14616,IIT (ISM) Dhanbad,Electrical Engineering,,4,New Delhi,Delhi
242006075,4845,173,gen,4845,IIT Kharagpur,Chemical Engineering,,4,New Delhi,Delhi
242006077,,,PREP-SC,2148,,,,,New Delhi,Delhi
242006078,,64,SC,3852,,,,,New Delhi,Delhi
242006081,,,PREP-SC,7694,,,,,New Delhi,Delhi
242006091,18272,122,gen,18272,,,,,New Delhi,Delhi
242006092,,82,SC,2080,IIT Dharwad,Electrical and Electronics Engineering,,4,New Delhi,Delhi
242006096,8620,151,OBC,1868,IIT Madras,Chemical Engineering,,4,New Delhi,Delhi
242006097,21469,116,gen,21469,,,,,New Delhi,Delhi
242006098,,,PREP-SC,1804,,,,,New Delhi,Delhi
242006100,10557,143,EWS,1380,,,,,New Delhi,Delhi
242006101,2265,202,gen,2265,IIT (BHU) Varanasi,Electronics Engineering,,4,New Delhi,Delhi
242006109,22218,115,EWS,3320,,,,,New Delhi,Delhi
242006110,,,PREP-SC,8077,,,,,New Delhi,Delhi
242006114,,,PREP-SC,1991,,,,,New Delhi,Delhi
242006116,,,PREP-SC,3889,,,,,New Delhi,Delhi
242006122,,72,SC,2979,IIT Tirupati,Chemical Engineering,,4,New Delhi,Delhi
242006129,,,PREP-SC,188,,,,,New Delhi,Delhi
242006133,3048,191,gen,3048,IIT Jodhpur,Artificial Intelligence and Data Science,,4,New Delhi,Delhi
242006135,,68,SC,3304,,,,,New Delhi,Delhi
242006138,1213,224,gen,1213,IIT Kanpur,Electrical Engineering,,4,New Delhi,Delhi
242006139,,,PREP-ST,2013,,,,,New Delhi,Delhi
242006145,,102,EWS,4755,,,,,New Delhi,Delhi
242006147,11949,138,gen,11949,IIT Goa,Mechanical Engineering,,4,New Delhi,Delhi
242006150,,58,SC,4704,,,,,New Delhi,Delhi
242006158,533,251,EWS,46,IIT Kanpur,Computer Science and Engineering,,4,New Delhi,Delhi
242006159,,,PREP-SC,4917,,,,,New Delhi,Delhi
242006164,25281,109,OBC,6598,,,,,New Delhi,Delhi
242006165,11961,138,gen,11961,IIT Mandi,Civil Engineering,,4,New Delhi,Delhi
242006170,,,PREP-SC,7447,,,,,New Delhi,Delhi
242006177,20464,118,gen,20464,,,,,New Delhi,Delhi
242006190,,65,SC,3749,,,,,New Delhi,Delhi
242006195,,,PREP-SC,675,,,,,New Delhi,Delhi
242006197,10415,144,gen,10415,IIT Roorkee,Chemical Sciences,,5,New Delhi,Delhi
242007003,,,PREP-SC,7483,,,,,New Delhi,Delhi
242007006,,98,OBC,9079,,,,,New Delhi,Delhi
242007007,,,PREP-SC,1885,,,,,New Delhi,Delhi
242007011,7548,156,gen,7548,,,,,New Delhi,Delhi
242007013,6332,163,gen,6332,,,,,New Delhi,Delhi
242007015,,,PREP-SC,6341,,,,,New Delhi,Delhi
242007018,,,PREP-SC,5559,,,,,New Delhi,Delhi
242007025,15165,129,EWS,2088,,,,,New Delhi,Delhi
242007026,,74,SC,2743,,,,,New Delhi,Delhi
242007027,,77,SC,2466,IIT (ISM) Dhanbad,Mineral and Metallurgical Engineering,,4,New Delhi,Delhi
242007031,382,265,gen,382,IIT Delhi,Electrical Engineering,,4,New Delhi,Delhi
242007034,,,PREP-SC,4228,,,,,New Delhi,Delhi
242007040,12382,137,gen,12382,,,,,New Delhi,Delhi
242007042,313,265,EWS,24,IIT Delhi,Computer Science and Engineering,,4,New Delhi,Delhi
242007047,,54,SC,5642,,,,,New Delhi,Delhi
242007050,14975,130,OBC,3601,IIT Dharwad,Electrical and Electronics Engineering,,4,New Delhi,Delhi
242007052,3371,187,gen,3371,IIT (BHU) Varanasi,Electrical Engineering,,4,New Delhi,Delhi
242007053,,104,OBC,7641,,,,,New Delhi,Delhi
242007060,,54,SC,5557,,,,,New Delhi,Delhi
242007064,,59,SC,4688,,,,,New Delhi,Delhi
242007071,,59,SC,4694,,,,,New Delhi,Delhi
242007072,,,PREP-SC,7401,,,,,New Delhi,Delhi
242007076,,,PREP-SC,4011,,,,,New Delhi,Delhi
242007079,,,PREP-SC,7205,,,,,New Delhi,Delhi
242007081,,,PREP-SC,6148,,,,,New Delhi,Delhi
242007083,,,PREP-SC,81,,,,,New Delhi,Delhi
242007086,14974,130,gen,14974,IIT (ISM) Dhanbad,Environmental Engineering,,4,New Delhi,Delhi
242007098,18675,122,gen,18675,,,,,New Delhi,Delhi
242007099,12152,138,gen,12152,IIT (BHU) Varanasi,Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology,,5,New Delhi,Delhi
242007106,4675,175,gen,4675,IIT Delhi,Biotechnology and Biochemical Engineering,,4,New Delhi,Delhi
242007107,1143,227,OBC,179,IIT Roorkee,Computer Science and Engineering,,4,New Delhi,Delhi
242007108,,,PREP-SC,6838,,,,,New Delhi,Delhi
242007109,,54,SC,5644,,,,,New Delhi,Delhi
242007111,3480,186,EWS,352,IIT (ISM) Dhanbad,Computer Science and Engineering,,4,New Delhi,Delhi
242007114,4047,180,gen,4047,IIT Mandi,B.Tech in Mathematics and Computing,,4,New Delhi,Delhi
242007115,,105,OBC,7484,,,,,New Delhi,Delhi
242007125,,,PREP-SC,4114,,,,,New Delhi,Delhi
242007131,,,PREP-ST,3092,,,,,New Delhi,Delhi
242007134,,68,SC,3353,,,,,New Delhi,Delhi
242007139,24415,111,gen,24415,,,,,New Delhi,Delhi
242007141,,,PREP-SC,1859,,,,,New Delhi,Delhi
242007142,10284,144,gen,10284,IIT (BHU) Varanasi,Metallurgical Engineering,,4,New Delhi,Delhi
242007149,8577,151,OBC,1855,IIT Delhi,Chemical Engineering,,5,New Delhi,Delhi
242007152,6284,163,gen,6284,,,,,New Delhi,Delhi
242007153,,98,ST,249,IIT Gandhinagar,Artificial Intelligence,,4,New Delhi,Delhi
242007158,12351,137,SC,316,IIT Indore,Computer Science and Engineering,,4,New Delhi,Delhi
242007159,9906,146,gen,9906,,,,,New Delhi,Delhi
242007160,5213,170,gen,5213,IIT Kanpur,Civil Engineering,,4,New Delhi,Delhi
242007162,,104,SC,908,,,,,New Delhi,Delhi
242007163,,,PREP-SC,5802,,,,,New Delhi,Delhi
242007164,14635,131,gen,14635,,,,,New Delhi,Delhi
242007165,21186,117,SC,640,IIT Indore,Mathematics and Computing,,4,New Delhi,Delhi
242007167,,68,ST,914,IIT Jammu,Civil Engineering,,4,New Delhi,Delhi
242007168,,107,EWS,4171,,,,,New Delhi,Delhi
242007173,7668,155,gen,7668,IIT Roorkee,Mechanical Engineering,,4,New Delhi,Delhi
242007174,25024,110,gen,25024,,,,,New Delhi,Delhi
242007179,13465,134,gen,13465,,,,,New Delhi,Delhi
242007181,,60,SC,4580,,,,,New Delhi,Delhi
242007183,16162,127,SC,433,IIT Bombay,Mechanical Engineering,,4,New Delhi,Delhi
242007185,,57,SC,5060,,,,,New Delhi,Delhi
242007187,,107,EWS,4140,,,,,New Delhi,Delhi
242007197,11688,139,gen,11688,,,,,New Delhi,Delhi
242007198,2413,199,gen,2413,IIT Ropar,Artificial Intelligence and Data Engineering,,4,New Delhi,Delhi
242007205,,,PREP-SC,20,,,,,New Delhi,Delhi
242007209,,,PREP-SC,5377,,,,,New Delhi,Delhi
242007210,,,PREP-SC,4079,,,,,New Delhi,Delhi
242007216,13478,134,gen,13478,IIT (ISM) Dhanbad,Mineral and Metallurgical Engineering,,4,New Delhi,Delhi
242007219,,103,OBC,7857,,,,,New Delhi,Delhi
242007222,,84,SC,1938,IIT (BHU) Varanasi,Chemical Engineering,,4,New Delhi,Delhi
242007228,,,PREP-SC,5416,,,,,New Delhi,Delhi
242008003,15684,128,gen,15684,,,,,New Delhi,Delhi
242008005,23529,112,gen,23529,,,,,New Delhi,Delhi
242008011,,54,SC,5624,,,,,New Delhi,Delhi
242008013,,,PREP-SC,4166,,,,,New Delhi,Delhi
242008014,195,281,gen,195,IIT Delhi,Computer Science and Engineering,,5,New Delhi,Delhi
242008019,3329,187,gen,3329,IIT Delhi,Chemical Engineering,,5,New Delhi,Delhi
242008021,8342,152,gen,8342,IIT Kharagpur,Agricultural and Food Engineering,,4,New Delhi,Delhi
242008023,25433,109,gen,25433,,,,,New Delhi,Delhi
242008027,1157,227,gen,1157,IIT Roorkee,Electronics and Communication Engineering,,4,New Delhi,Delhi
242008036,25653,109,SC,838,IIT Roorkee,Mechanical Engineering,,4,New Delhi,Delhi
242008037,,66,SC,3659,,,,,New Delhi,Delhi
242008040,10945,142,EWS,1437,IIT Guwahati,Biosciences and Bioengineering,,4,New Delhi,Delhi
242008043,,,PREP-SC,5452,,,,,New Delhi,Delhi
242008044,,69,SC,3246,,,,,New Delhi,Delhi
242008047,1098,230,gen,1098,IIT Delhi,Engineering and Computational Mechanics,,4,New Delhi,Delhi
242008049,,,PREP-SC,5866,,,,,New Delhi,Delhi
242008056,,,PREP-SC,7912,,,,,New Delhi,Delhi
242008058,,98,OBC,9086,,,,,New Delhi,Delhi
242008059,345,265,gen,345,IIT Delhi,Mathematics and Computing,,5,New Delhi,Delhi
242008060,12154,138,gen,12154,IIT (BHU) Varanasi,Ceramic Engineering,,4,New Delhi,Delhi
242008061,11190,141,OBC,2522,IIT Patna,Computer Science and Engineering,,4,New Delhi,Delhi
242008062,,102,SC,1098,,,,,New Delhi,Delhi
242008065,3779,183,gen,3779,IIT Kanpur,Chemical Engineering,,4,New Delhi,Delhi
242008080,,66,ST,1052,IIT Jodhpur,Mechanical Engineering,,4,New Delhi,Delhi
242008084,25104,110,gen,25104,,,,,New Delhi,Delhi
242008085,2038,205,gen,2038,IIT Madras,Mechanical Engineering,,4,New Delhi,Delhi
242008087,5500,168,OBC,1084,IIT Ropar,Computer Science and Engineering,,4,New Delhi,Delhi
242008088,10778,142,gen,10778,IIT (ISM) Dhanbad,Engineering Physics,,4,New Delhi,Delhi
242008092,15390,129,gen,15390,,,,,New Delhi,Delhi
242008096,7268,157,gen,7268,IIT Hyderabad,Materials Science and Metallurgical Engineering,,4,New Delhi,Delhi
242008102,,,PREP-SC,4223,,,,,New Delhi,Delhi
242008103,2200,203,gen,2200,IIT Delhi,Engineering Physics,,4,New Delhi,Delhi
242008104,1544,216,gen,1544,IIT (BHU) Varanasi,Mathematics and Computing,,5,New Delhi,Delhi
242008115,,,PREP-SC,4699,,,,,New Delhi,Delhi
242008116,,,PREP-SC,6895,,,,,New Delhi,Delhi
242008117,,102,SC,1078,IIT Jodhpur,Artificial Intelligence and Data Science,,4,New Delhi,Delhi
242008120,,,PREP-SC,4252,,,,,New Delhi,Delhi
242008121,,,PREP-ST,1313,,,,,New Delhi,Delhi
242008126,,,PREP-SC,3441,,,,,New Delhi,Delhi
242008128,,82,SC,2017,IIT Ropar,Mechanical Engineering,,4,New Delhi,Delhi
242008131,4381,177,gen,4381,IIT Guwahati,Mechanical Engineering,,4,New Delhi,Delhi
242008132,19348,120,gen,19348,IIT Kharagpur,Architecture,1,5,New Delhi,Delhi
242008133,2808,193,gen,2808,IIT Patna,Computer Science and Engineering,,4,New Delhi,Delhi
242008134,,,PREP-SC,4981,,,,,New Delhi,Delhi
242008136,20247,118,gen,20247,,,,,New Delhi,Delhi
242008144,,,PREP-SC,1231,,,,,New Delhi,Delhi
242008145,2169,203,gen,2169,IIT (BHU) Varanasi,Electronics Engineering,,4,New Delhi,Delhi
242008146,2707,194,gen,2707,IIT Delhi,Energy Engineering,,4,New Delhi,Delhi
242008150,3930,181,gen,3930,IIT Guwahati,Mechanical Engineering,,4,New Delhi,Delhi
242008151,,105,EWS,4400,,,,,New Delhi,Delhi
242008153,,60,SC,4479,IIT (ISM) Dhanbad,Mining Engineering,,4,New Delhi,Delhi
242008155,1826,210,gen,1826,IIT Delhi,Electrical Engineering,,4,New Delhi,Delhi
242008161,25366,109,OBC,6625,,,,,New Delhi,Delhi
242008162,14834,130,OBC,3558,,,,,New Delhi,Delhi
242008166,692,246,gen,692,IIT Delhi,Electrical Engineering (Power and Automation),,4,New Delhi,Delhi
242008171,7110,158,gen,7110,IIT Mandi,Data Science and Engineering,,4,New Delhi,Delhi
242008172,,61,SC,4344,,,,,New Delhi,Delhi
242008175,9545,147,gen,9545,IIT Kharagpur,Mining Engineering,,4,New Delhi,Delhi
242008180,20660,118,gen,20660,,,,,New Delhi,Delhi
242008181,5142,171,gen,5142,,,,,New Delhi,Delhi
242008184,7549,156,gen,7549,,,,,New Delhi,Delhi
242008185,11531,140,gen,11531,,,,,New Delhi,Delhi
242008190,,74,SC,2752,IIT Tirupati,Chemical Engineering,,4,New Delhi,Delhi
242008194,25773,109,gen,25773,,,,,New Delhi,Delhi
242008199,17610,124,gen,17610,,,,,New Delhi,Delhi
242008202,13189,135,EWS,1771,,,,,New Delhi,Delhi
242008204,18797,121,gen,18797,,,,,New Delhi,Delhi
242008205,14669,131,OBC,3511,IIT Kanpur,Physics,,4,New Delhi,Delhi
242008206,1686,214,gen,1686,IIT Guwahati,Electronics and Electrical Engineering,,4,New Delhi,Delhi
242008212,17473,124,gen,17473,,,,,New Delhi,Delhi
242008213,,107,EWS,4173,,,1,,New Delhi,Delhi
242008214,24637,110,gen,24637,,,,,New Delhi,Delhi
242008217,,,PREP-SC,5677,,,,,New Delhi,Delhi
242008220,8078,153,gen,8078,,,,,New Delhi,Delhi
242008222,21551,116,gen,21551,,,,,New Delhi,Delhi
242008224,,,PREP-SC,6378,,,,,New Delhi,Delhi
242008226,15798,128,gen,15798,IIT Mandi,BS in Chemical Sciences,,4,New Delhi,Delhi
242008229,4740,174,SC,115,IIT Delhi,Mathematics and Computing,,4,New Delhi,Delhi
242008232,4680,175,gen,4680,IIT Patna,Mathematics and Computing,,4,New Delhi,Delhi
242008239,15844,128,gen,15844,,,,,New Delhi,Delhi
242008240,1256,224,gen,1256,IIT (BHU) Varanasi,Computer Science and Engineering,,5,New Delhi,Delhi
242008244,17698,124,gen,17698,,,,,New Delhi,Delhi
242008246,,,PREP-ST,23,,,,,New Delhi,Delhi
242009001,,104,SC,966,IIT Kharagpur,Mechanical Engineering,,4,New Delhi,Delhi
242009002,20435,118,gen,20435,,,,,New Delhi,Delhi
242009005,,,PREP-SC,927,,,,,New Delhi,Delhi
242009006,4206,178,OBC,784,IIT Roorkee,Mathematics & Computing,,5,New Delhi,Delhi
242009007,3208,188,gen,3208,IIT Madras,Engineering Design,,5,New Delhi,Delhi
242009008,18533,122,gen,18533,,,,,New Delhi,Delhi
242009012,14967,130,gen,14967,IIT Roorkee,Metallurgical and Materials Engineering,,4,New Delhi,Delhi
242009018,20156,118,EWS,2936,,,,,New Delhi,Delhi
242009023,,,PREP-SC,5197,,,,,New Delhi,Delhi
242009024,24235,111,gen,24235,,,,,New Delhi,Delhi
242009028,7086,159,OBC,1469,IIT Delhi,Engineering Physics,,4,New Delhi,Delhi
242009035,,81,SC,2109,IIT Kharagpur,Metallurgical and Materials Engineering,,4,New Delhi,Delhi
242009036,11939,138,EWS,1596,IIT Delhi,Production and Industrial Engineering,,4,New Delhi,Delhi
242009041,10487,144,gen,10487,IIT Jodhpur,Chemical Engineering,,4,New Delhi,Delhi
242009048,1648,214,gen,1648,IIT Ropar,Computer Science and Engineering,,4,New Delhi,Delhi
242009049,16157,127,gen,16157,,,,,New Delhi,Delhi
242009050,6348,163,EWS,742,IIT (BHU) Varanasi,Electronics Engineering,,4,New Delhi,Delhi
242009053,24336,111,gen,24336,,,,,New Delhi,Delhi
242009057,14725,130,gen,14725,IIT Roorkee,Civil Engineering,,4,New Delhi,Delhi
242009059,1700,214,gen,1700,IIT Roorkee,Electrical Engineering,,4,New Delhi,Delhi
242009063,968,233,gen,968,IIT (BHU) Varanasi,Computer Science and Engineering,,4,New Delhi,Delhi
242009064,,86,SC,1868,IIT Guwahati,Chemical Science and Technology,,4,New Delhi,Delhi
242009065,,,PREP-SC,2158,,,,,New Delhi,Delhi
242009066,,98,ST,258,IIT Roorkee,Electrical Engineering,,4,New Delhi,Delhi
242009067,10609,143,gen,10609,,,,,New Delhi,Delhi
242009070,16684,126,EWS,2340,,,,,New Delhi,Delhi
242009071,,,PREP-SC,2239,,,,,New Delhi,Delhi
242009085,,74,SC,2704,,,,,New Delhi,Delhi
242009086,20737,117,gen,20737,,,,,New Delhi,Delhi
242009090,869,237,gen,869,IIT Guwahati,Mathematics and Computing,,4,New Delhi,Delhi
242009092,24795,110,gen,24795,,,,,New Delhi,Delhi
242009097,2712,194,SC,56,IIT Delhi,Electrical Engineering,,4,New Delhi,Delhi
242009099,14526,131,SC,382,IIT Bhubaneswar,Computer Science and Engineering,,4,New Delhi,Delhi
242009101,5616,167,gen,5616,,,,,New Delhi,Delhi
242009103,,,PREP-SC,5058,,,,,New Delhi,Delhi
242009104,20990,117,gen,20990,,,,,New Delhi,Delhi
242009108,18096,123,gen,18096,,,,,New Delhi,Delhi
242009109,7015,159,EWS,829,IIT Roorkee,Chemical Engineering,,4,New Delhi,Delhi
242009110,,68,SC,3409,,,,,New Delhi,Delhi
242009111,10613,143,EWS,1391,IIT Roorkee,Biosciences and Bioengineering,,4,New Delhi,Delhi
242009114,,104,EWS,4467,,,,,New Delhi,Delhi
242009115,3016,191,gen,3016,IIT Delhi,Production and Industrial Engineering,,4,New Delhi,Delhi
242009116,9771,146,gen,9771,,,,,New Delhi,Delhi
242009119,14340,131,gen,14340,,,,,New Delhi,Delhi
242009120,18570,122,gen,18570,,,,,New Delhi,Delhi
242009121,12589,136,gen,12589,IIT Roorkee,Civil Engineering,,4,New Delhi,Delhi
242009124,25788,109,OBC,6765,,,,,New Delhi,Delhi
242009127,,104,EWS,4505,,,,,New Delhi,Delhi
242009128,20792,117,gen,20792,,,,,New Delhi,Delhi
242009130,19840,119,gen,19840,,,,,New Delhi,Delhi
242009135,10559,143,gen,10559,,,,,New Delhi,Delhi
242009138,,,PREP-SC,756,,,,,New Delhi,Delhi
242009146,865,237,gen,865,IIT Kanpur,Mathematics and Scientific Computing,,4,New Delhi,Delhi
242009148,25737,109,gen,25737,,,,,New Delhi,Delhi
242009151,17177,125,gen,17177,,,,,New Delhi,Delhi
242009152,10037,145,gen,10037,IIT Kanpur,Chemistry,,4,New Delhi,Delhi
242009157,17904,123,SC,513,IIT Ropar,Computer Science and Engineering,,4,New Delhi,Delhi
242009159,5927,165,gen,5927,,,,,New Delhi,Delhi
242009163,1755,212,gen,1755,IIT Ropar,Mathematics and Computing,,4,New Delhi,Delhi
242009170,6626,161,gen,6626,IIT Roorkee,Metallurgical and Materials Engineering,,4,New Delhi,Delhi
242009174,22481,114,SC,695,IIT Bombay,Economics,,4,New Delhi,Delhi
242009178,15549,128,gen,15549,,,,,New Delhi,Delhi
242009182,6700,161,gen,6700,,,,,New Delhi,Delhi
242009183,23577,112,gen,23577,,,,,New Delhi,Delhi
242009184,4918,172,gen,4918,IIT Kanpur,Civil Engineering,,4,New Delhi,Delhi
242009190,13132,135,gen,13132,,,,,New Delhi,Delhi
242009192,3959,181,gen,3959,IIT Delhi,Civil Engineering,,4,New Delhi,Delhi
242009194,106,281,OBC,10,IIT Bombay,Computer Science and Engineering,,4,New Delhi,Delhi
242009195,8986,149,gen,8986,,,,,New Delhi,Delhi
242009198,23240,113,gen,23240,,,,,New Delhi,Delhi
242009201,,104,SC,929,IIT Indore,Electrical Engineering,,4,New Delhi,Delhi
242009203,,74,SC,2728,,,,,New Delhi,Delhi
242009206,2963,192,gen,2963,IIT Delhi,Production and Industrial Engineering,,4,New Delhi,Delhi
242009209,,,PREP-SC,1736,,,,,New Delhi,Delhi
242009220,,55,SC,5334,,,,,New Delhi,Delhi
242009221,15820,128,gen,15820,,,,,New Delhi,Delhi
242009223,782,242,gen,782,IIT Delhi,Electrical Engineering (Power and Automation),,4,New Delhi,Delhi
242009224,,68,ST,920,IIT (BHU) Varanasi,Electrical Engineering,,4,New Delhi,Delhi
242009230,21533,116,gen,21533,,,,,New Delhi,Delhi
242009237,,98,OBC,9129,,,,,New Delhi,Delhi
242009238,17038,125,gen,17038,,,,,New Delhi,Delhi
242009239,11238,141,gen,11238,,,,,New Delhi,Delhi
242009240,1096,230,gen,1096,IIT Kanpur,Electrical Engineering,,4,New Delhi,Delhi
242009246,2363,200,gen,2363,IIT Bombay,Aerospace Engineering,,4,New Delhi,Delhi
242009248,14060,132,gen,14060,IIT Bhubaneswar,Electrical Engineering,,4,New Delhi,Delhi
242009258,3188,189,gen,3188,,,,,New Delhi,Delhi
242009259,,,PREP-ST,586,,,,,New Delhi,Delhi
242009262,3461,186,gen,3461,IIT Ropar,Computer Science and Engineering,,4,New Delhi,Delhi
242009263,,57,SC,4948,,,,,New Delhi,Delhi
242009266,22072,115,gen,22072,,,,,New Delhi,Delhi
242009269,15313,129,OBC,3705,IIT Kharagpur,Biotechnology and Biochemical Engineering,,4,New Delhi,Delhi
242009270,16779,126,gen,16779,,,,,New Delhi,Delhi
242009277,20448,118,gen,20448,,,,,New Delhi,Delhi
242009282,20659,118,gen,20659,,,,,New Delhi,Delhi
242009286,,,PREP-SC,204,,,,,New Delhi,Delhi
242009289,4663,175,gen,4663,IIT Patna,Mathematics and Computing,,4,New Delhi,Delhi
242009290,967,233,gen,967,IIT Guwahati,Data Science and Artificial Intelligence,,4,New Delhi,Delhi
242009292,22602,114,gen,22602,,,,,New Delhi,Delhi
242009295,24123,111,SC,756,IIT Kanpur,Mechanical Engineering,,4,New Delhi,Delhi
242009297,22018,115,EWS,3290,,,,,New Delhi,Delhi
242009299,1209,224,gen,1209,IIT Roorkee,Electronics and Communication Engineering,,4,New Delhi,Delhi
242010005,,,PREP-CRL-PwD,394,,,,,New Delhi,Delhi
242010009,,,PREP-EWS-PwD,1,IIT Kanpur,Mathematics and Scientific Computing,,4,New Delhi,Delhi
242010010,,,PREP-CRL-PwD,52,,,,,New Delhi,Delhi
242010015,,,PREP-CRL-PwD,257,,,,,New Delhi,Delhi
242010034,25849,109,gen,25849,,,,,New Delhi,Delhi
242010038,16527,126,OBC,4036,,,,,New Delhi,Delhi
242010040,15545,128,gen,15545,,,1,,New Delhi,Delhi
242010045,6225,163,OBC,1259,IIT (BHU) Varanasi,Electronics Engineering,,4,New Delhi,Delhi
242010048,3782,183,gen,3782,IIT Delhi,Materials Engineering,,4,New Delhi,Delhi
