"Birla Institute of Technology, Patna Off-Campus",Total Seats,236,12,52,0,76,0,29,0,52,6,463,424 39
"Indian Institute of Handloom Technology, Salem",Total Seats,11,1,3,0,5,0,2,0,7,1,30,30 0
"Gati Shakti Vishwavidyalaya, Vadodara",Total Seats,152,0,37,0,55,0,25,0,97,0,366,340 26
CU Jharkhand,Total Seats,40,0,8,0,12,0,4,0,20,0,84,84 0
"National Institute of Electronics and Information Technology, Ropar (Punjab)",Total Seats,24,1,6,0,8,1,4,0,15,1,60,60 0
"National Institute of Electronics and Information Technology, Patna (Bihar)",Total Seats,24,1,6,0,8,1,4,0,15,1,60,60 0
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",Total Seats,24,1,6,0,8,1,4,0,15,1,60,60 0
"National Institute of Electronics and Information Technology, Gorakhpur (UP)",Total Seats,48,2,12,0,16,2,8,0,30,2,120,120 0
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",Total Seats,46,2,12,0,16,2,10,0,30,2,120,120 0
Islamic University of Science and Technology Kashmir,Total Seats,10,0,0,0,2,0,4,0,4,0,20,20 0
Shri G. S. Institute of Technology and Science Indore,Total Seats,43,0,0,0,0,0,0,0,0,0,43,43 0
